Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
52.4,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.466667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.533333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.6,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.666667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.733333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.8,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.866667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
52.933333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53.066667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53.133333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53.2,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53.266667,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
53.333333,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
